DATE,PRODUCT,REGION,SALES
2025-01-01,Laptop,North,55000
2025-01-02,Mobile,South,32000
2025-01-03,Tablet,East,21000
2025-01-04,Laptop,West,60000
2025-01-05,Mobile,North,34000
2025-01-06,Tablet,South,18000
2025-01-07,Laptop,East,72000
2025-01-08,Mobile,West,39000
2025-01-09,Tablet,North,25000
2025-01-10,Laptop,South,65000
2025-01-11,Mobile,East,41000
2025-01-12,Tablet,West,20000
2025-01-13,Laptop,North,75000
2025-01-14,Mobile,South,36000
2025-01-15,Tablet,East,22000
2025-01-16,Laptop,West,80000
2025-01-17,Mobile,North,43000
2025-01-18,Tablet,South,24000
2025-01-19,Laptop,East,68000
2025-01-20,Mobile,West,47000
